location_code,cad_space,SF_art_count,article_capacity,date_recorded
FR0098,WOM. BASIC JERSEY,126,120.0,2024-12-13
FR0098,WOM. MAMA,1,,2024-12-13
FR0098,WOMENSWEAR COLLECTION,959,763.0,2024-12-13
LU0249,BABY,506,,2024-12-13
LU0249,BOY 134-170,139,139.0,2024-12-13
LU0249,BOY 92-140,213,213.0,2024-12-13
LU0249,BOY KIDS BASIC,117,65.0,2024-12-13
LU0249,BOY YOUNG BASIC,48,35.0,2024-12-13
LU0249,DIV. COLL.,423,326.0,2024-12-13
LU0249,DIV. GIRL BASICS+UNDERW.,145,133.0,2024-12-13
LU0249,GIRL 134-170,197,197.0,2024-12-13
LU0249,GIRL 92-140,293,248.0,2024-12-13
LU0249,GIRL KIDS BASIC,141,109.0,2024-12-13
LU0249,GIRL YOUNG BASIC,66,50.0,2024-12-13
LU0249,MENS COLLECTION,484,376.0,2024-12-13
LU0249,MENS H&M BASIC,121,105.0,2024-12-13
LU0249,MENS SUIT,43,38.0,2024-12-13
LU0249,WOM. BASIC JERSEY,139,113.0,2024-12-13
LU0249,WOM. MAMA,67,57.0,2024-12-13
LU0249,WOMENSWEAR COLLECTION,923,709.0,2024-12-13
RO0007,BABY,522,522.0,2024-12-13
RO0007,BOY 134-170,148,148.0,2024-12-13
RO0007,BOY 92-140,324,324.0,2024-12-13
RO0007,BOY KIDS BASIC,150,150.0,2024-12-13
RO0007,BOY YOUNG BASIC,61,61.0,2024-12-13
RO0007,DIV. COLL.,558,474.0,2024-12-13
RO0007,DIV. GIRL BASICS+UNDERW.,20,,2024-12-13
RO0007,GIRL 134-170,187,187.0,2024-12-13
RO0007,GIRL 92-140,340,340.0,2024-12-13
RO0007,GIRL KIDS BASIC,172,151.0,2024-12-13
RO0007,GIRL YOUNG BASIC,69,69.0,2024-12-13
RO0007,MENS COLLECTION,582,582.0,2024-12-13
RO0007,MENS H&M BASIC,152,152.0,2024-12-13
RO0007,MENS SUIT,58,,2024-12-13
RO0007,WOM. BASIC JERSEY,114,,2024-12-13
RO0007,WOM. MAMA,32,,2024-12-13
