location_code,cad_space,SF_art_count,article_capacity,date_recorded
BG0511,BABY,374,320.0,2024-12-18
BG0511,BOY 134-170,242,,2024-12-18
BG0511,BOY 92-140,290,290.0,2024-12-18
BG0511,BOY KIDS BASIC,149,141.0,2024-12-18
BG0511,BOY YOUNG BASIC,71,,2024-12-18
BG0511,DIV. COLL.,589,,2024-12-18
BG0511,DIV. GIRL BASICS+UNDERW.,167,,2024-12-18
BG0511,GIRL 134-170,350,,2024-12-18
BG0511,GIRL 92-140,360,331.0,2024-12-18
BG0511,GIRL KIDS BASIC,170,115.0,2024-12-18
BG0511,GIRL YOUNG BASIC,100,65.0,2024-12-18
BG0511,MENS COLLECTION,420,420.0,2024-12-18
BG0511,MENS H&M BASIC,147,,2024-12-18
BG0511,MENS SUIT,52,,2024-12-18
BG0511,WOM. BASIC JERSEY,163,102.0,2024-12-18
BG0511,WOM. MAMA,60,,2024-12-18
BG0511,WOMENSWEAR COLLECTION,846,787.0,2024-12-18
ES0001,BABY,395,353.0,2024-12-18
ES0001,BOY 134-170,93,93.0,2024-12-18
ES0001,BOY 92-140,264,264.0,2024-12-18
ES0001,BOY KIDS BASIC,106,106.0,2024-12-18
ES0001,BOY YOUNG BASIC,37,37.0,2024-12-18
ES0001,DIV. COLL.,334,287.0,2024-12-18
ES0001,DIV. GIRL BASICS+UNDERW.,12,,2024-12-18
ES0001,GIRL 134-170,128,128.0,2024-12-18
ES0001,GIRL 92-140,307,307.0,2024-12-18
ES0001,GIRL KIDS BASIC,146,146.0,2024-12-18
ES0001,GIRL YOUNG BASIC,46,46.0,2024-12-18
ES0001,MENS COLLECTION,284,284.0,2024-12-18
ES0001,MENS H&M BASIC,113,113.0,2024-12-18
ES0001,MENS SUIT,29,,2024-12-18
ES0001,WOM. BASIC JERSEY,78,78.0,2024-12-18
ES0001,WOM. MAMA,3,,2024-12-18
ES0001,WOMENSWEAR COLLECTION,759,854.0,2024-12-18
ES0036,BABY,435,393.0,2024-12-18
ES0036,BOY 134-170,99,99.0,2024-12-18
ES0036,BOY 92-140,240,240.0,2024-12-18
ES0036,BOY KIDS BASIC,116,116.0,2024-12-18
ES0036,BOY YOUNG BASIC,49,49.0,2024-12-18
ES0036,DIV. COLL.,347,347.0,2024-12-18
ES0036,DIV. GIRL BASICS+UNDERW.,112,112.0,2024-12-18
ES0036,GIRL 134-170,123,123.0,2024-12-18
ES0036,GIRL 92-140,272,272.0,2024-12-18
ES0036,GIRL KIDS BASIC,159,123.0,2024-12-18
ES0036,GIRL YOUNG BASIC,69,69.0,2024-12-18
